symbol,name,icon
KLAC,KLA Corp.,https://image-cdn.pluang.com/icons/light/global-stocks/klac.svg
WM,"Waste Management, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/wm.svg
ENB,Enbridge Inc,https://image-cdn.pluang.com/icons/light/global-stocks/enb.svg
DUK,Duke Energy Corp,https://image-cdn.pluang.com/icons/light/global-stocks/duk.svg
INTC,Intel Corp,https://image-cdn.pluang.com/icons/light/global-stocks/intc.svg
BTI,British American Tobacco PLC,https://image-cdn.pluang.com/icons/light/global-stocks/bti.svg
CI,Cigna Corp,https://image-cdn.pluang.com/icons/light/global-stocks/ci.svg
MDLZ,MONDELEZ INTERNATIONAL INC Common Stock,https://image-cdn.pluang.com/icons/light/global-stocks/mdlz.svg
AON,Aon PLC,https://image-cdn.pluang.com/icons/light/global-stocks/aon.svg
EQIX,Equinix Inc,https://image-cdn.pluang.com/icons/light/global-stocks/eqix.svg
CVS,CVS Health Corp,https://image-cdn.pluang.com/icons/light/global-stocks/cvs.svg
ABNB,"Airbnb, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/abnb.svg
MCO,Moody's Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/mco.svg
CRWD,Crowdstrike Holdings Inc,https://image-cdn.pluang.com/icons/light/global-stocks/crwd.svg
HCA,HCA Health Inc,https://image-cdn.pluang.com/icons/light/global-stocks/hca.svg
CTAS,Cintas Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/ctas.svg
BBVA,Banco Bilbao Vizcaya Argentaria SA,https://image-cdn.pluang.com/icons/light/global-stocks/bbva.svg
MCK,McKesson Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/mck.svg
ITW,Illinois Tool Works Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/itw.svg
GSK,GSK plc,https://image-cdn.pluang.com/icons/light/global-stocks/gsk.svg
TRI,Thomson Reuters Corp,https://image-cdn.pluang.com/icons/light/global-stocks/tri.svg
RACE,Ferrari NV,https://image-cdn.pluang.com/icons/light/global-stocks/race.svg
MMM,3M Company,https://image-cdn.pluang.com/icons/light/global-stocks/mmm.svg
CL,Colgate-Palmolive Company,https://image-cdn.pluang.com/icons/light/global-stocks/cl.svg
SE,Sea Limited,https://image-cdn.pluang.com/icons/light/global-stocks/se.svg
FTNT,Fortinet Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ftnt.svg
REGN,Regeneron Pharmaceuticals Inc,https://image-cdn.pluang.com/icons/light/global-stocks/regn.svg
ZTS,Zoetis Inc,https://image-cdn.pluang.com/icons/light/global-stocks/zts.svg
ECL,Ecolab Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/ecl.svg
DASH,DoorDash Inc,https://image-cdn.pluang.com/icons/light/global-stocks/dash.svg
MSTR,MicroStrategy Incorporated,https://image-cdn.pluang.com/icons/light/global-stocks/mstr.svg
GD,General Dynamics Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/gd.svg
MAR,Marriott International Inc,https://image-cdn.pluang.com/icons/light/global-stocks/mar.svg
SCCO,Southern Copper Corp,https://image-cdn.pluang.com/icons/light/global-stocks/scco.svg
BMO,Bank of Montreal,https://image-cdn.pluang.com/icons/light/global-stocks/bmo.svg
MSI,Motorola Solutions Inc,https://image-cdn.pluang.com/icons/light/global-stocks/msi.svg
NOC,Northrop Grumman Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/noc.svg
APD,"Air Products & Chemicals, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/apd.svg
PYPL,"PayPal Holdings, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/pypl.svg
SNPS,"Synopsys, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/snps.svg
USB,US Bancorp,https://image-cdn.pluang.com/icons/light/global-stocks/usb.svg
EOG,EOG Resources Inc,https://image-cdn.pluang.com/icons/light/global-stocks/eog.svg
CMG,"Chipotle Mexican Grill, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/cmg.svg
WDAY,Workday Inc,https://image-cdn.pluang.com/icons/light/global-stocks/wday.svg
NTES,NetEase Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ntes.svg
JD,JD.Com Inc,https://image-cdn.pluang.com/icons/light/global-stocks/jd.svg
EMR,Emerson Electric Co.,https://image-cdn.pluang.com/icons/light/global-stocks/emr.svg
